clan,count
คาเงโร่,436
ดาร์ค อิลเรกูลาร์ส,281
ทาจิคาเสะ,225
นุบาทามะ,218
รอยัล พาลาดิน,556
สไปค์ บราเธอร์ส,207
เมก้าโคโลนี่,218
แกรนบลู,246
โนว่า เกรปเปอร์,424
โอราเคิล ทิงค์ แทงค์,371
เกรท เนเจอร์,264
เบอร์มิวด้า ไทรแองเกิล,610
เพลมูน,306
ไดเมนชั่น โพลิส,306
ชาโดว์ พาลาดิน,439
มุราคุโมะ,242
เนโอ เนคต้า,366
นารุคามิ,388
แองเจิล ฟิทเธอร์,271
โกลด์ พาลาดิน,403
อควอฟอร์ซ,362
เจเนซิส,319
ลิงค์โจ๊กเกอร์,466
ไอคอนิค,165
N/A,1888
เกียร์โครนิเคิล,395
เครย์เอเลเมนทัล,41
เดอะแมสค์คอลเลคชั่น,80
เอทรานเจอร์,22
แอนิเมชั่น,43
เกม,103
ไลฟ์แอคชั่น,100
BanG Dream!,75
