order,review_item_id,recipe_id,source_candidate_edge,source_card_id,target_card_id,manual_substitution_count,grade_counts_after,g_zone_deferred,g_zone_decision_option_count,selection_command_template
1,m57_01_m56_recipe_001_repair_review,m56_recipe_001,G-BT12-062TH->G-BT12-066TH,G-BT12-062TH,G-BT12-066TH,7,"{'0': 17, '1': 14, '2': 11, '3': 8}",True,2,"python tools\deck\build_sixth_slice_human_selected_recipe_artifact.py --review-item-id m57_01_m56_recipe_001_repair_review --selection-text ""<explicit user/team selection reason>"""
2,m57_01_m56_recipe_002_repair_review,m56_recipe_002,G-BT10-026TH->G-BT09-058TH,G-BT10-026TH,G-BT09-058TH,7,"{'0': 17, '1': 14, '2': 11, '3': 8}",True,2,"python tools\deck\build_sixth_slice_human_selected_recipe_artifact.py --review-item-id m57_01_m56_recipe_002_repair_review --selection-text ""<explicit user/team selection reason>"""
3,m57_01_m56_recipe_003_repair_review,m56_recipe_003,G-BT10-026TH->G-BT09-060TH,G-BT10-026TH,G-BT09-060TH,7,"{'0': 17, '1': 14, '2': 11, '3': 8}",True,2,"python tools\deck\build_sixth_slice_human_selected_recipe_artifact.py --review-item-id m57_01_m56_recipe_003_repair_review --selection-text ""<explicit user/team selection reason>"""
4,m57_01_m56_recipe_004_repair_review,m56_recipe_004,G-BT10-026TH->G-BT09-062TH,G-BT10-026TH,G-BT09-062TH,7,"{'0': 17, '1': 14, '2': 11, '3': 8}",True,2,"python tools\deck\build_sixth_slice_human_selected_recipe_artifact.py --review-item-id m57_01_m56_recipe_004_repair_review --selection-text ""<explicit user/team selection reason>"""
5,m57_01_m56_recipe_005_repair_review,m56_recipe_005,G-BT10-026TH->G-BT12-031TH,G-BT10-026TH,G-BT12-031TH,7,"{'0': 17, '1': 14, '2': 11, '3': 8}",True,2,"python tools\deck\build_sixth_slice_human_selected_recipe_artifact.py --review-item-id m57_01_m56_recipe_005_repair_review --selection-text ""<explicit user/team selection reason>"""
6,m57_01_m56_recipe_006_repair_review,m56_recipe_006,G-BT10-026TH->G-BT12-065TH,G-BT10-026TH,G-BT12-065TH,7,"{'0': 17, '1': 14, '2': 11, '3': 8}",True,2,"python tools\deck\build_sixth_slice_human_selected_recipe_artifact.py --review-item-id m57_01_m56_recipe_006_repair_review --selection-text ""<explicit user/team selection reason>"""
7,m57_01_m56_recipe_007_repair_review,m56_recipe_007,G-BT10-026TH->G-TD10-010TH,G-BT10-026TH,G-TD10-010TH,7,"{'0': 17, '1': 14, '2': 11, '3': 8}",True,2,"python tools\deck\build_sixth_slice_human_selected_recipe_artifact.py --review-item-id m57_01_m56_recipe_007_repair_review --selection-text ""<explicit user/team selection reason>"""
8,m57_01_m56_recipe_008_repair_review,m56_recipe_008,G-BT12-062TH->G-BT09-058TH,G-BT12-062TH,G-BT09-058TH,7,"{'0': 17, '1': 14, '2': 11, '3': 8}",True,2,"python tools\deck\build_sixth_slice_human_selected_recipe_artifact.py --review-item-id m57_01_m56_recipe_008_repair_review --selection-text ""<explicit user/team selection reason>"""
9,m57_01_m56_recipe_009_repair_review,m56_recipe_009,G-BT12-062TH->G-BT09-060TH,G-BT12-062TH,G-BT09-060TH,7,"{'0': 17, '1': 14, '2': 11, '3': 8}",True,2,"python tools\deck\build_sixth_slice_human_selected_recipe_artifact.py --review-item-id m57_01_m56_recipe_009_repair_review --selection-text ""<explicit user/team selection reason>"""
10,m57_01_m56_recipe_010_repair_review,m56_recipe_010,G-BT12-062TH->G-BT09-062TH,G-BT12-062TH,G-BT09-062TH,7,"{'0': 17, '1': 14, '2': 11, '3': 8}",True,2,"python tools\deck\build_sixth_slice_human_selected_recipe_artifact.py --review-item-id m57_01_m56_recipe_010_repair_review --selection-text ""<explicit user/team selection reason>"""
11,m57_01_m56_recipe_011_repair_review,m56_recipe_011,G-BT12-062TH->G-BT12-065TH,G-BT12-062TH,G-BT12-065TH,7,"{'0': 17, '1': 14, '2': 11, '3': 8}",True,2,"python tools\deck\build_sixth_slice_human_selected_recipe_artifact.py --review-item-id m57_01_m56_recipe_011_repair_review --selection-text ""<explicit user/team selection reason>"""
12,m57_01_m56_recipe_012_repair_review,m56_recipe_012,G-BT12-062TH->G-TD10-010TH,G-BT12-062TH,G-TD10-010TH,7,"{'0': 17, '1': 14, '2': 11, '3': 8}",True,2,"python tools\deck\build_sixth_slice_human_selected_recipe_artifact.py --review-item-id m57_01_m56_recipe_012_repair_review --selection-text ""<explicit user/team selection reason>"""
